,ysp,ysp_m1,ysp_p1
9786,2.09165006634,2.52487623459,1.83711730709
9787,1.83711730709,2.09165006634,2.8939592257
9788,2.8939592257,1.83711730709,2.7156951228
9789,2.7156951228,2.8939592257,3.37268439081
9790,3.37268439081,2.7156951228,2.31840462387
9791,2.31840462387,3.37268439081,3.65718470958
9792,3.65718470958,2.31840462387,3.65718470958
9793,3.65718470958,3.65718470958,3.22102468168
9794,3.22102468168,3.65718470958,3.22102468168
9795,3.22102468168,3.22102468168,3.22102468168
9796,3.22102468168,3.22102468168,3.22102468168
9797,3.22102468168,3.22102468168,4.40170421541
9798,4.40170421541,3.22102468168,3.92109678534
9799,3.92109678534,4.40170421541,3.22102468168
9800,3.22102468168,3.92109678534,3.79143772203
9801,3.79143772203,3.22102468168,3.51781181987
